hemisphere,start_x,start_y,start_z,end_x,end_y,end_z,obstacle_distance,path_length,status,is_best
left,46.86537170410156,90.38462829589844,28.0,108.51427459716797,132.1216278076172,74.0,2.573141487712295,87.51322389307768,success,0
left,136.5,97.5,8.5,109.2184829711914,130.73643493652344,73.01795196533203,2.4403057826959187,77.53391454379057,success,0
left,209.0,103.5,76.5,108.86138153076172,130.32493591308594,72.96355438232422,2.3576227150977203,103.72958374193746,success,0
left,132.4325408935547,96.75,8.5,106.09963989257812,130.05520629882812,73.15484619140625,2.3458750637558357,77.34925712486923,success,0
left,123.0,55.75,39.0,106.66091918945312,129.45806884765625,72.95806884765625,2.3372581107521855,82.78282077126012,success,0
left,69.75,127.2432632446289,10.75,109.18030548095703,131.12477111816406,73.44446563720703,2.2693501189909586,74.16475655747033,success,0
left,22.0,87.0,60.0,106.05548858642578,131.16061401367188,74.21610260009766,2.2606371083901515,96.00824217067914,success,0
left,130.94102478027344,87.0,12.25,106.8739242553711,131.41079711914062,74.5892105102539,2.23574995695429,80.23541235311859,success,0
left,134.27027893066406,100.5,7.75,108.94207000732422,130.7335205078125,73.29144287109375,2.1916337779102717,76.49355961900007,success,0
left,39.75,99.0,28.75,107.594970703125,130.01133728027344,73.51134490966797,2.006481662903769,86.99552337759124,success,0
left,176.0,89.2742805480957,25.475719451904297,106.9058609008789,130.22508239746094,73.72508239746094,1.9560676305031277,93.6961538944194,success,0
left,144.0,91.5,11.5,107.00169372558594,130.39385986328125,73.89386749267578,1.9445382534663962,82.30796864783805,success,0
right,185.75,73.5,105.0,108.2152328491211,129.25,84.57925415039062,0.0,97.65607752820789,fail,0
left,141.75,81.0,16.0,107.7615966796875,130.12901306152344,70.2384033203125,0.0,80.68875931256136,fail,0
right,90.0,52.0,108.75,107.09087371826172,130.18728637695312,82.31270599365234,0.0,84.2868923962873,fail,0
right,180.75,92.25,128.75,106.06405639648438,131.31405639648438,82.98503112792969,0.0,95.90840969360713,fail,0
right,124.96144104003906,50.5,111.0,109.25,131.92738342285156,82.82572174072266,0.0,87.58457687331654,fail,0
left,81.38921356201172,46.75,67.11078643798828,107.48014068603516,131.97239685058594,74.0,0.0,89.39269917981484,fail,0
left,177.75,61.0,60.75,107.4738540649414,131.9981231689453,71.49813079833984,0.0,100.47383986220792,fail,0
right,176.25,98.25,134.75,108.2630615234375,129.25,85.22025299072266,0.0,89.64607990436008,fail,0
left,101.25,42.25,80.0,108.165771484375,133.5133819580078,72.42916107177734,0.0,91.83763054279227,fail,0
right,196.25,97.5,111.0,109.0204849243164,130.07577514648438,84.19471740722656,0.0,96.89526614655466,fail,0
left,152.25,47.5,95.25,108.62338256835938,131.78256225585938,71.28256225585938,0.0,97.8839625319633,fail,0
left,101.25,46.0,58.5,108.797119140625,131.1988525390625,73.9017333984375,0.0,86.90809440421674,fail,0
